# -----------------------------------------------------------------------
# Copyright (c) 2019 SAP SE or an SAP affiliate company. All rights reserved.
# -----------------------------------------------------------------------
300398587,1,Manchester 
300604622,1,Sheffield Kathedrale 
300412210,1,Glasgow Ibrox Park 
300613801,1,Cambridge Museum 
300067368,1,Glasgow Kathedrale 
300415612,1,Nottingham Concert Hall 
300737419,1,Glasgow Ibrox Park 
300678854,1,Birmingham Villa Park 
300046032,1,Sheffield Arena 
300423718,1,Leeds Cockpit 
300412215,1,Newcastle upon Tyne Kathedrale 
300412427,1,Newcastle upon Tyne Gallery 
300611156,1,Leeds 
300605324,1,Manchester Holiday Inn 
300412439,1,London Theater 
300605284,1,Cardiff Castle 
300453398,1,Leeds Moor 
300605291,1,Manchester Holiday Inn 
300613583,1,Newcastle upon Tyne Kathedrale 
300389095,1,Newcastle upon Tyne University 
300413144,1,Birmingham Park 
300438592,1,Birmingham Kathedrale 
300660327,1,Glasgow Ibrox Park 
300202725,1,Edinburgh Park 
300412831,1,Glasgow Ibrox Park 
300613491,1,Cardiff University 
300564385,1,Cambridge University 
300613166,1,Newcastle upon Tyne Gallery 
135304_neutral,1,Cambridge Hospital 
300613370,1,Sheffield Arena 
300678855,1,London Theater 
300427245,1,Cambridge Museum 
300438059,1,Edinburgh University 
300476954,1,Manchester United FC 
300415737,1,Glasgow Ibrox Park 
300742518,1,Leeds Victoria Quarter 
300047436,1,Nottingham Ice Center 
300026674,1,Manchester 
300409040,1,Birmingham Park 
300515235,1,Newcastle upon Tyne Kathedrale 
300738117,1,Leeds Victoria Quarter 
300605283,1,Edinburgh Dynamic Earth 
300786360,1,Birmingham Symphony Hall 
300398794,1,Manchester dental Hospital 
300476944,1,Edinburgh Castle 
300615230,1,London Theater 
300412033,1,Sheffield United FC 
300414025,1,Edinburgh Castle 
300737411,1,Nottingham University 
300720128,1,London Hyde Park 
300412615,1,Sheffield Kathedrale 
300608392,1,Sheffield Hospital 
300617331,1,London School 
300785802,1,Newcastle upon Tyne College 
300564395,1,Manchester Hospital 
300026678,1,Leeds Moor 
300720127,1,Sheffield Arena 
300399601,1,Sheffield Arena 
300026688,1,Birmingham Symphony Hall 
300022348,1,Manchester Holiday Inn 
300608207,1,Leeds Victoria Quarter 
300389096,1,St Peter Port 
300617330,1,Birmingham Park 
300413751,1,Birmingham Park 
300615230,1,St Peter Port 
300412383,1,Edinburgh Hospital 
300413732,1,Jersey 
115061_silver_mirror,1,Manchester United FC 
300410520,1,Cardiff City Stadium 
300604899,1,Sheffield Arena 
300608427,1,London Greenwich Park 
300613333,1,Sheffield Hospital 
300737295,1,Sheffield United FC 
300742613,1,Newcastle upon Tyne Gallery 
300427735,1,Birmingham Symphony Hall 
300414001,1,Sheffield Arena 
300062456,1,London Theater 
300738142,1,Manchester Hospital 
300414545,1,Cambridge Hospital 
300398573,1,Cambridge Coldhams 
300046028,1,Cambridge University 
300613586,1,London School 
300742885,1,Newcastle upon Tyne Kathedrale 
300412449,1,Leeds Moor 
300791707,1,Sheffield Hospital 
300453392,1,Glasgow University 
300737427,1,Leeds Moor 
300737945,1,London School 
300413737,1,London Theater 
300389772,1,Cardiff Museum 
300321070,1,Nottingham Concert Hall 
300613258,1,London School 
300427729,1,London Hospital 
300737292,1,London Hyde Park 
300022349,1,Glasgow Ibrox Park 
300410976,1,Birmingham Symphony Hall 
300786356,1,Birmingham Park 
300737942,1,Birmingham Hospital  
