# -----------------------------------------------------------------------
# Copyright (c) 2019 SAP SE or an SAP affiliate company. All rights reserved.
# -----------------------------------------------------------------------
300076934,7
300413138,2
300613336,1
300673824,5
300738133,2
300558998,9
300412628,2
300615286,2
300453396,8
300414540,10
300608389,4
300605320,7
300495175,5
300428255,8
300399428,6
300611156,2
300026678,10
300412216,5
300412824,3
300613369,3
300720119,8
300613615,9
300737425,5
300412019,6
300410412,8
300737942,8
300613490,5
300453393,6
300079332,9
300611202,2
300410974,6
300427237,7
300720122,4
300412412,4
300026682,6
300442966,2
300412387,9
300412395,2
300453378,3
300613372,1
300412843,5
300491715,7
300605301,4
300076936,10
300046587,7
300613257,7
300453387,8
300026686,1
300026677,5
300613264,9
300413151,9
300414564,10
300398341,10
300413759,9
300689173,7
300202725,9
300659388,8
300313710,7
300453371,7
300415714,7
300564393,7
300412435,8
300412427,7
300737945,7
300613255,8
300760754,2
300427204,7
300671343,3
300412202,8
300613164,9
300412379,4
300611207,8
300613669,10
300589206,4
300605330,9
300410535,9
300476946,7
300476947,2
300737978,9
300617125,3
300067377,7
300015407,2
300453398,7
300398342,10
300413163,3
300742518,4
300742886,7
300395983,9
300605303,6
300417104,2
300738137,1
300736128,8
300310300,8
300564007,8
300412396,3
300605324,3
300613267,8
300413728,4
300402767,5
300428256,3
300607488,5
300617321,6
300611200,8
300412034,1
300491716,6
300720127,2
300617559,7
300604648,10
300476952,7
300441900,2
300608395,7
300678848,4
300412433,3
300067367,3
300786277,6
300737976,8
300413132,8
300605295,10
300459767,7
300388629,8
300047436,8
300050256,3
300046033,9
300785814,8
300608309,5
300046592,8
300613661,4
300737264,6
300453389,5
300050254,2
300438060,6
300050253,3
300791704,2
300738206,2
300466682,2
300738142,4
300737273,3
300791707,6
300605321,5
300409039,6
300613174,3
300412418,9
300402746,5
300452191,9
300413745,9
300611204,4
300415737,7
300784679,1
300717445,10
300784676,3
300464995,7
300412455,8
300515779,5
300737506,9
300784794,3
300605317,4
300605285,6
45574,9
300737429,4
35104,6
300613268,2
45573,8
300615226,7
300427743,8
300717433,1
300412215,6
300067374,2
300415613,8
300737411,2
300417115,9
300784690,9
300742515,6
300062456,3
300398581,5
300613331,8
300410253,3
13105,3
300399823,6
300438781,3
300409062,4
300147493,6
300428254,1
300438085,4
300439074,5
300414539,4
300413748,1
300720128,6
300466678,2
300415612,3
300414015,8
300737584,2
300310070,2
