# -----------------------------------------------------------------------
# Copyright (c) 2019 SAP SE or an SAP affiliate company. All rights reserved.
# -----------------------------------------------------------------------
3880504,2
89650000_45,1
38021000_30,3
47592000_48,3
321654DD_3,3
3803058,3
53359000_45,2
3626881,2
49042000_11,1
47591000_35,1
47003000_7,1
47591000_36,1
89650000_44,1
47003000_32,1
53359000_48,1
50501000_48,3
47003000_20,2
2221933,1
47003000_33,1
26388000_26,3
95553000_65,1
65016000_60,1
52561000_10,1
47591000_20,3
86515000_38,2
3881061,1
47592000_40,1
3881014,1
95553000_56,3
95553000_66,1
6100521,3
4600658,1
65016000_81,1
47591000_7,2
26388000_1,1
4491784,3
95553000_45,1
26038000_16,1
321654DD_50,1
47003000_2,1
86515000_42,3
3887529,2
52652000_80,2
72399000_61,3
3887119,2
72399000_78,1
52561000_8,1
4567133,2
95567000_58,1
321654DD_53,2
26038000_7,3
50500000_6,1
26388000_5,1
95553000_44,1
3881417,3
3881028,3
26002000_12,2
3881037,1
33034000_63,1
3884636,1
72399000_65,3
3884645,2
26388000_22,1
61096000_20,3
321654DD_28,2
26388000_3,1
86515000_49,3
47592000_38,2
52561000_12,2
89649000_27,1
38021000_43,2
33032000_54,1
65016000_79,2
3857734,1
50500000_3,3
61096000_12,1
40008000_24,3
86515000_48,1
3881020,2
40008000_23,3
3887122,1
52652000_104,3
47592000_57,1
3879436,3
52561000_25,1
53359000_29,2
61009000_59,1
95553000_47,1
321654DD_41,3
47592000_51,3
47591000_14,1
3880517,3
47003000_16,1
3880596,1
47003000_17,1
89650000_38,3
321654DD_12,3
95553000_72,2
53359000_44,3
49042001_52,1
4567223,3
49042001_64,1
4567191,1
33032000_43,2
88117000_26,3
95567000_42,2
50500000_8,2
50501000_30,2
50500000_26,1
65016000_83,3
26038000_13,1
61009000_32,3
26002000_8,3
40008000_1,2
65016000_77,2
3887130,3
72399000_57,2
26002000_2,2
3318057,1
26002000_9,2
26038000_28,1
3879444,2
4567182,3
3881039,1
53359000_38,3
321654DD_37,3
47003000_14,3
33031000_17,3
95567000_40,1
52652000_88,2
53359000_42,2
65016000_76,2
49042000_23,3
4567175,1
3881025,2
3887513,1
3857732,2
50500000_28,3
88117000_6,1
4567184,2
321654DD_58,2
3942849,3
95567000_59,1
89650000_58,2
49042000_15,3
26388000_15,2
61009000_34,2
89650000_68,1
3755211,2
50500000_4,2
3881058,2
47003000_3,1
47003000_12,1
86515000_53,2
86515000_29,2
38021000_53,3
33032000_49,1
50501000_45,2
89650000_50,2
65016000_62,3
3887524,3
53359000_27,3
95553000_60,3
49042000_1,2
88117000_14,1
693923,3
33031000_8,1
89650000_52,2
95553000_46,2
1979039,1
47003000_19,1
89649000_4,3
4567187,3
3880500,1
3755213,3
47592000_67,3
321654DD_57,2
89649000_3,3
52561000_24,3
33031000_22,2
47591000_5,2
95553000_58,3
4567186,3
26038000_10,1
3881024,2
3780171,2
33031000_21,2
52652000_97,2
3092788,3
26388000_25,2
47003000_15,2
52652000_100,2
33032000_39,1
65016000_70,1
47003000_22,2
47591000_13,3
50500000_12,2
49042001_49,2
89649000_15,1
26002000_3,3
33032000_33,1
95567000_48,1
38021000_32,1
38021000_33,2
50500000_24,2
47592000_54,2
53359000_52,3
88117000_11,2
3881382,2
33034000_71,3
47003000_25,3
52652000_98,2
86515000_35,3
321654DD_20,3
95567000_47,3
3880501,2
3881034,1
3755207,1
61009000_29,1
95567000_39,1
52652000_106,1
321654DD_51,3
3778923,3
52561000_3,1
88117000_22,3
321654DD_14,1
65016000_57,2
33034000_64,1
50500000_10,2
72399000_67,1
33031000_9,2
26388000_9,2
3880508,3
26388000_16,1
95553000_63,2
33032000_53,1
53359000_32,3
3774136,1
52561000_14,1
49042000_16,1
321654DD_60,2
49042001_42,1
65016000_59,2
321654DD_26,2
65016000_65,3
33034000_79,2
3778917,2
